Decision-Maker,++,+,0,-,--,Target (Y/N),Comments
"Richard Tice (Reform UK, Boston and Skegness)",,,1,,,,2024-11-28 PQ: Anti-social Behaviour: Public Spaces Protection Orders (re: Crime and Policing) [unscored]
"Rupert Lowe (Restore Britain, Great Yarmouth)",,,1,,,,2024-12-23 PQ: Anti-social Behaviour: Great Yarmouth (re: Crime and Policing) [unscored]
"Sam Carling (Labour, North West Cambridgeshire)",,,1,,,,"2026-03-02 DEBATE: Spoke:  Small Religious Organisations: Safeguarding (re: grooming gang) ""However, I want to open today’s debate by talking about an issue that I have previously discussed with the Minister: the mandatory reporting of child sexual abuse, which is one of the key recommendations from the independent inquiry into child sexual abuse. I..."" [0: Focuses on mandatory abuse reporting, not clearly tied to abortion or parental rights in education]"
"Sarah Edwards (Labour, Tamworth)",,,1,,,,"2024-07-17 DEBATE: Spoke:  Debate on the Address (re: asylum hotel) ""In Tamworth, the Holiday Inn has been used for asylum purposes for years and the simple reality is that residents want their hotel back. Tamworth benefits from local tourism and, as I have said before in this Chamber, the Holiday Inn should be for holidays. I..."" [unscored]"
"Sarah Hall (Labour (Co-op), Warrington South)",,,1,,,,"2025-03-10 DEBATE: Spoke:  Crime and Policing Bill ""Crime and Policing Bill"" [0: Focuses on crime, stalking and antisocial behaviour, no reference to abortion policy]"
"Sarah Pochin (Reform UK, Runcorn and Helsby)",,,1,,,,2026-07-06 PQ: Organised Crime (re: border security) [unscored]
"Shaun Davies (Labour, Telford)",,,1,,,,2025-12-23 PQ: Dogs: Fines (re: Crime and Policing) [unscored]
"Shockat Adam (Independent, Leicester South)",,,1,,,,"2025-12-10 DEBATE: Spoke:  AI Safety (re: Online Safety Act) ""Like the hon. Member for Newcastle upon Tyne Central and West (Dame Chi Onwurah), I fear that the Government have not learned from previous legislative failures. We all remember that deepfake pornography, one of the most disturbing and harmful uses of AI, was..."" [0: General AI safety debate; mentions freedom of expression only in passing, direction unclear]"
"Siân Berry (Green Party, Brighton Pavilion)",,,1,,,,"2025-06-17 DEBATE: Spoke: Crime and Policing Bill ""Crime and Policing Bill"" [unscored]"
"Susan Murray (Liberal Democrat, Mid Dunbartonshire)",,,1,,,,2026-03-27 PQ: Video Recordings: Public Places (re: Crime and Policing) [unscored]
"Tom Gordon (Liberal Democrat, Harrogate and Knaresborough)",,,1,,,,"2025-05-15 DEBATE: Spoke: Accountability for Daesh Crimes (re: religious minorit) ""Secondly, we call for a change in the law. At present, under the International Criminal Court Act 2001, the UK can only prosecute individuals for international crimes such as genocide, war crimes or crimes against humanity if they are UK nationals or..."" [unscored]"
"Tristan Osborne (Labour, Chatham and Aylesford)",,,1,,,,"2025-03-10 DEBATE: Spoke:  Crime and Policing Bill ""Crime and Policing Bill"" [0: Speech on shoplifting and knife crime, unrelated to abortion policy]"
"Abtisam Mohamed (Labour, Sheffield Central)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Adam Jogee (Labour, Newcastle-under-Lyme)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Adam Thompson (Labour, Erewash)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Adrian Ramsay (Green Party, Waveney Valley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Al Carns (Labour, Birmingham Selly Oak)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alan Gemmell (Labour, Central Ayrshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alan Strickland (Labour, Newton Aycliffe and Spennymoor)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Baker (Labour, Aldershot)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Ballinger (Labour, Halesowen)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Easton (Independent, North Down)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Mayer (Labour, Dunstable and Leighton Buzzard)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex McIntyre (Labour, Gloucester)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alice Macdonald (Labour (Co-op), Norwich North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Bennett (Liberal Democrat, Mid Sussex)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Griffiths (Conservative, Bognor Regis and Littlehampton)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Hume (Labour, Scarborough and Whitby)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Taylor (Labour, Paisley and Renfrewshire North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alistair Strathern (Labour, Hitchin)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Amanda Hack (Labour, North West Leicestershire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Cooper (Labour, Mid Cheshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew George (Liberal Democrat, St Ives)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Lewin (Labour, Welwyn Hatfield)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Pakes (Labour (Co-op), Peterborough)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Ranger (Labour, Wrexham)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Western (Labour, Stretford and Urmston)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andy Burnham (Labour (Co-op), Makerfield)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andy MacNae (Labour, Rossendale and Darwen)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Ann Davies (Plaid Cymru, Caerfyrddin)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Anna Dixon (Labour, Shipley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Anna Gelderd (Labour, South East Cornwall)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Anna Sabine (Liberal Democrat, Frome and East Somerset)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Anna Turley (Labour (Co-op), Redcar)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Antonia Bance (Labour, Tipton and Wednesbury)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Aphra Brandreth (Conservative, Chester South and Eddisbury)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Ayoub Khan (Independent, Birmingham Perry Barr)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Baggy Shanker (Labour (Co-op), Derby South)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Becky Gittins (Labour, Clwyd East)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Ben Coleman (Labour, Chelsea and Fulham)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Ben Maguire (Liberal Democrat, North Cornwall)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Blair McDougall (Labour, East Renfrewshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Blake Stephenson (Conservative, Mid Bedfordshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Bobby Dean (Liberal Democrat, Carshalton and Wallington)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Bradley Thomas (Conservative, Bromsgrove)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Brendan O'Hara (Scottish National Party, Argyll, Bute and South Lochaber)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Brian Leishman (Labour, Alloa and Grangemouth)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Brian Mathew (Liberal Democrat, Melksham and Devizes)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Callum Anderson (Labour, Buckingham and Bletchley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Calum Miller (Liberal Democrat, Bicester and Woodstock)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Carla Denyer (Green Party, Bristol Central)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Caroline Voaden (Liberal Democrat, South Devon)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Cat Eccles (Labour, Stourbridge)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Catherine Atkinson (Labour, Derby North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Catherine Fookes (Labour, Monmouthshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Charlie Dewhirst (Conservative, Bridlington and The Wolds)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Charlie Maynard (Liberal Democrat, Witney)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris Bloore (Labour, Redditch)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris Curtis (Labour, Milton Keynes North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris Hazzard (Sinn Féin, South Down)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris Hinchliff (Labour, North East Hertfordshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris Kane (Labour, Stirling and Strathallan)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris McDonald (Labour, Stockton North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris Murray (Labour, Edinburgh East and Musselburgh)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris Vince (Labour (Co-op), Harlow)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris Ward (Labour, Brighton Kemptown and Peacehaven)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris Webb (Labour, Blackpool South)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Claire Hazelgrove (Labour, Filton and Bradley Stoke)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Claire Hughes (Labour, Bangor Aberconwy)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Claire Young (Liberal Democrat, Thornbury and Yate)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Clive Jones (Liberal Democrat, Wokingham)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Connor Naismith (Labour, Crewe and Nantwich)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Dame Harriett Baldwin (Conservative, West Worcestershire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Dame Meg Hillier (Labour (Co-op), Hackney South and Shoreditch)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Damian Hinds (Conservative, East Hampshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Damien Egan (Labour, Bristol North East)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Dan Aldridge (Labour, Weston-super-Mare)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Dan Tomlinson (Labour, Chipping Barnet)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Danny Beales (Labour, Uxbridge and South Ruislip)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Darren Paffey (Labour, Southampton Itchen)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Dave Robertson (Labour, Lichfield)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"David Baines (Labour, St Helens North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"David Burton-Sampson (Labour, Southend West and Leigh)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"David Chadwick (Liberal Democrat, Brecon, Radnor and Cwm Tawe)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"David Pinto-Duschinsky (Labour, Hendon)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"David Reed (Conservative, Exmouth and Exeter East)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Deirdre Costigan (Labour, Ealing Southall)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Douglas Lumsden (Conservative, Aberdeen South)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Douglas McAllister (Labour, West Dunbartonshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Dr Allison Gardner (Labour, Stoke-on-Trent South)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Dr Beccy Cooper (Labour, Worthing West)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Dr Danny Chambers (Liberal Democrat, Winchester)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Dr Ellie Chowns (Green Party, North Herefordshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Dr Jeevun Sandher (Labour, Loughborough)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Dr Peter Prinsley (Labour, Bury St Edmunds and Stowmarket)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Dr Roz Savage (Liberal Democrat, South Cotswolds)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Dr Scott Arthur (Labour, Edinburgh South West)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Dr Zubir Ahmed (Labour, Glasgow South West)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Dáire Hughes (Sinn Féin, Newry and Armagh)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Edward Morello (Liberal Democrat, West Dorset)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Elaine Stewart (Labour, Ayr, Carrick and Cumnock)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Emma Foody (Labour (Co-op), Cramlington and Killingworth)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Emma Reynolds (Labour, Wycombe)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Esther McVey (Conservative, Tatton)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Euan Stainbank (Labour, Falkirk)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Frank McNally (Labour, Coatbridge and Bellshill)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Fred Thomas (Labour, Plymouth Moor View)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Freddie van Mierlo (Liberal Democrat, Henley and Thame)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Gareth Snell (Labour (Co-op), Stoke-on-Trent Central)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Gen Kitchen (Labour, Wellingborough and Rushden)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Georgia Gould (Labour, Queen's Park and Maida Vale)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Gideon Amos (Liberal Democrat, Taunton and Wellington)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Gill German (Labour, Clwyd North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Gordon McKee (Labour, Glasgow South)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Graham Leadbitter (Scottish National Party, Moray West, Nairn and Strathspey)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Gregory Stafford (Conservative, Farnham and Bordon)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Gurinder Singh Josan (Labour, Smethwick)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Hannah Spencer (Green Party, Gorton and Denton)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Harpreet Uppal (Labour, Huddersfield)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Heidi Alexander (Labour, Swindon South)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Helen Maguire (Liberal Democrat, Epsom and Ewell)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Helena Dollimore (Labour (Co-op), Hastings and Rye)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Henry Tufnell (Labour, Mid and South Pembrokeshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Ian Roome (Liberal Democrat, North Devon)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Ian Sollom (Liberal Democrat, St Neots and Mid Cambridgeshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Imogen Walker (Labour, Hamilton and Clyde Valley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Imran Hussain (Labour, Bradford East)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Iqbal Mohamed (Independent, Dewsbury and Batley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Irene Campbell (Labour, North Ayrshire and Arran)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Jack Abbott (Labour (Co-op), Ipswich)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Jacob Collier (Labour, Burton and Uttoxeter)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Jade Botterill (Labour, Ossett and Denby Dale)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"James Asser (Labour, West Ham and Beckton)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"James MacCleary (Liberal Democrat, Lewes)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"James Naish (Labour, Rushcliffe)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Jayne Kirkham (Labour (Co-op), Truro and Falmouth)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Jen Craft (Labour, Thurrock)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Jenny Riddell-Carpenter (Labour, Suffolk Coastal)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Jess Asato (Labour, Lowestoft)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Jess Brown-Fuller (Liberal Democrat, Chichester)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Jim Dickson (Labour, Dartford)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Jo Platt (Labour (Co-op), Leigh and Atherton)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Jo White (Labour, Bassetlaw)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Joani Reid (Labour, East Kilbride and Strathaven)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Jodie Gosling (Labour, Nuneaton)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Joe Morris (Labour, Hexham)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Joe Powell (Labour, Kensington and Bayswater)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Joe Robertson (Conservative, Isle of Wight East)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Johanna Baxter (Labour, Paisley and Renfrewshire South)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"John Cooper (Conservative, Dumfries and Galloway)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"John Finucane (Sinn Féin, Belfast North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"John Grady (Labour, Glasgow East)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"John Lamont (Conservative, Berwickshire, Roxburgh and Selkirk)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"John Milne (Liberal Democrat, Horsham)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"John Slinger (Labour, Rugby)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"John Whitby (Labour, Derbyshire Dales)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Jonathan Davies (Labour, Mid Derbyshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Jonathan Hinder (Labour, Pendle and Clitheroe)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Josh Dean (Labour, Hertford and Stortford)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Josh Fenton-Glynn (Labour, Calder Valley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Julia Buckley (Labour, Shrewsbury)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Kate Dearden (Labour (Co-op), Halifax)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Katie Lam (Conservative, Weald of Kent)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Katie White (Labour, Leeds North West)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Katrina Murray (Labour, Cumbernauld and Kirkintilloch)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Keir Mather (Labour, Selby)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Kenneth Stevenson (Labour, Airdrie and Shotts)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Kevin Bonavia (Labour, Stevenage)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Kevin McKenna (Labour, Sittingbourne and Sheppey)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Kirith Entwistle (Labour, Bolton North East)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Kirsteen Sullivan (Labour (Co-op), Bathgate and Linlithgow)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Kirsty McNeill (Labour (Co-op), Midlothian)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Lara Bird (Scottish National Party, Arbroath and Broughty Ferry)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Laura Kyrke-Smith (Labour, Aylesbury)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Laurence Turner (Labour, Birmingham Northfield)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Lee Barron (Labour, Corby and East Northamptonshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Lee Pitcher (Labour, Doncaster East and the Isle of Axholme)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Liam Conlon (Labour, Beckenham and Penge)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Lillian Jones (Labour, Kilmarnock and Loudoun)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Lincoln Jopp (Conservative, Spelthorne)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Linsey Farnsworth (Labour, Amber Valley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Liz Jarvis (Liberal Democrat, Eastleigh)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Llinos Medi (Plaid Cymru, Ynys Môn)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Lloyd Hatton (Labour, South Dorset)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Lola McEvoy (Labour, Darlington)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Lorraine Beavers (Labour, Blackpool North and Fleetwood)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Louise Sandher-Jones (Labour, North East Derbyshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Lucy Rigby (Labour, Northampton North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Luke Akehurst (Labour, North Durham)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Luke Murphy (Labour, Basingstoke)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Luke Myer (Labour, Middlesbrough South and East Cleveland)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Manuela Perteghella (Liberal Democrat, Stratford-on-Avon)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Margaret Mullane (Labour, Dagenham and Rainham)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Marie Goldman (Liberal Democrat, Chelmsford)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mark Ferguson (Labour, Gateshead Central and Whickham)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mark Sewards (Labour, Leeds South West and Morley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Markus Campbell-Savours (Labour, Penrith and Solway)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Martin McCluskey (Labour, Inverclyde and Renfrewshire West)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Martin Rhodes (Labour, Glasgow North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mary Creagh (Labour, Coventry East)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Matt Bishop (Labour, Forest of Dean)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Matt Turmaine (Labour, Watford)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Matthew Patrick (Labour, Wirral West)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Maureen Burke (Labour, Glasgow North East)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Max Wilkinson (Liberal Democrat, Cheltenham)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Maya Ellis (Labour, Ribble Valley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Melanie Onn (Labour, Great Grimsby and Cleethorpes)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Melanie Ward (Labour, Cowdenbeath and Kirkcaldy)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Miatta Fahnbulleh (Labour (Co-op), Peckham)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Michael Payne (Labour, Gedling)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Michael Shanks (Labour, Rutherglen)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Michael Wheeler (Labour, Worsley and Eccles)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Michelle Scrogham (Labour, Barrow and Furness)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Michelle Welsh (Labour, Sherwood Forest)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mike Martin (Liberal Democrat, Tunbridge Wells)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mike Reader (Labour, Northampton South)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mike Tapp (Labour, Dover and Deal)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Monica Harding (Liberal Democrat, Esher and Walton)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mr Adnan Hussain (Independent, Blackburn)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mr Angus MacDonald (Liberal Democrat, Inverness, Skye and West Ross-shire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mr Bayo Alaba (Labour, Southend East and Rochford)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mr Calvin Bailey (Labour, Leyton and Wanstead)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mr Cathal Mallaghan (Sinn Féin, Mid Ulster)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mr Connor Rand (Labour, Altrincham and Sale West)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mr Douglas Alexander (Labour (Co-op), Lothian East)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mr Hamish Falconer (Labour, Lincoln)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mr James Frith (Labour, Bury North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mr Jonathan Brash (Labour, Hartlepool)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Mr Joshua Reynolds (Liberal Democrat, Maidenhead)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
