Campaign Name,Campaigner,Date of Submission,Urgency,List,Notes,Approval Date
Consultation: Tying the Knot: Reforming weddings law in England and Wales (DRAFT),cjoyce@citizengo.net,2026-08-13,Non-Urgent Campaign (by default),EN GB,Draft generated by parl-monitor,
GENERAL INFORMATION
Type of Campaign,[CAMPAIGNER: Survival / Obligatory / Opportunity]
TOTAL IF WE WIN,,0,,0,0,
TOTAL IF WE LOSE,,0,,0,0,
TIMELINE OF MAJOR ACTIONS
Date,Action,Comment
2026-09-24,Deadline,consultation
[CAMPAIGNER],Launch,
EVALUATE DASHBOARD
Emails Bluebook link related to this campaign,
Number of total emails sent for this campaign,
Total Signatures,
New List Members,
Reactivated Members,
Acquired %,
Total € raised,
Total € spent,
Cost of the offline actions,
Asana link related to this campaign,
Asana link to the Evaluate task,
Google Doc link to the wording copy package,
Political impact evaluation,
Did you win the political fight?,
Did the media talk about the campaign?,
Did any politician talk about the campaign?,
Did you deliver the signatures?,
How did you deliver the signatures?,
Was it a good decision to run this campaign?,
"Which good practices, if any, can we drawn from this campaign and repeat in future campaigns?",
"Which improvement areas can you identify in this campaign, so that we can do better in future campaigns?",
Which specific conclusions can you draw analyzing data of this campaign?,
Top 3 Sources of New Members (by channel & % of total),
Social Media Strategy in One Line,
Other comments,
Moving forward,
"For more information on how to fill out or interpret this document, check the Campaigns Brief Cheat Sheet"
